Mob,Tel,CompanyType,ownerName,website,company,emails
07713 113 305,01727 894 815,Limited company,Darren Barry,http://www.priorityplumbers.co.uk/,Priority Plumbers Ltd,
07957 707 267,07957707267,Sole trader,Dean Tapper,https://www.instagram.com/tappertrades?igsh=MWRtcnkyemFndWh6Mw%3D%3D&utm_source=qr,Tapper Trades,
07776 153 815,01375 405 943,Sole trader,John Charlesworth,https://www.gasureplumbingandheating.co.uk/,Gasure Plumbing & Heating,
07482 372 663,07482 372 663,Limited company,Conner Atkins,https://www.casplumbingheating.co.uk/,CAS Plumbing & Heating Services Ltd,
,01932 429 330,Incorporated as from 10th March 2014,,https://www.shoosmithplumbing.com/services/plumbing-services/,Shoosmith Heating & Plumbing,
07919 586 463,,Incorporated as from 21st December 2020,,https://www.lsheatingandplumbing.com/,LS Heating and Plumbing Ltd,
07742 759 195,01992 236 060,Sole trader,Daniel Smith,,Blue Planet Plumbing and Heating,
07449 460 691,07803 969 300,Partnership,Marcus Trevor,http://www.copperwizard.plumbing/,Copper Wizard Plumbing,
07850 593 358,07850 593 358,Sole trader,Denis Cooper,,C&C Heating & Plumbing,
07826 166 727,01753 267 024,Sole trader,David Quigley,,Tap-Flow Plumbing & Heating,
07711 141 356,01375 399 299,Sole trader,Joseph Cottington,,JF Cottington & Sons,
07990 806 015,020 8570 7041,Limited company,Omar Osman,https://www.osmanplumbing.co.uk/,Osman Plumbing & Heating Service Ltd,
07914 101 165,07914 101 165,Sole trader,Aaron Rolfe,,A Rolfe Plumbing & Heating,
07462 608 097,,Incorporated as from 9th January 2017,,,M Herring Plumbing & Heating Limited,
07710 217 844,0800 037 4170,Sole trader,Steve Grimley,http://www.plumbingthatcares.co.uk/,All Plumbing,
07866 149 276,,Incorporated as from 9th March 2021,,https://www.bpsplumbingandheating.com/,BPS Plumbing And Heating Ltd,
07789 314 539,01707 334 009,Sole trader,Paul Cook,http://www.pcplumbing.co.uk/,PC Plumbing,
07821 039 523,01442 737 916,Limited company,Zina Woodcock,http://www.neptuneheatingandplumbing.co.uk/,Neptune Heating and Plumbing Ltd,
07450 188 556,01279 295 995,Limited company,Michael Knight,http://www.everflowpdh.co.uk/,Everflow Heating & Plumbing Ltd,
07724 944 532,01923 601 270,Incorporated as from 22nd May 2018,,https://www.synergyelectric.co.uk/,Synergy Electric Ltd,
07540 661 557,07540 661 557,Sole trader,Martin Kirchin,https://kirchinandsons.co.uk/,Kirchin & Sons,
07807 044 479,07807 044 479,Sole trader,James Braddick,http://i%20have%20been%20in%20the%20trade%2020%20years,%20i%20can%20fit%20new%20bathrooms%20to%20a%20high%20standard%20including%20tiling%20new%20walls%20spotlights%20and%20ceiling.%20also%20finding%20and%20repairing%20leaks%20replacing%20taps,%20toilets%20sinks%20and%20waists%20or%20repairing%20when%20possible.%20also%20fit%20gutters%20and%20downpipes%20and%20repair%20where%20possible/,BBS,
07931 813 297,07931 813 297,Sole trader,Ross Morris,http://www.rmmplumbingheating.com/,RMM Plumbing & Heating,
07873 901 445,07873 901 445,Sole trader,Matt Eldridge,https://eldysgph.co.uk/,Eldys Gas Plumbing & Heating Services,
07779 616 158,01628 529 131,Limited company,Craig Henry,https://cphplumbingltd.co.uk/,CPH Plumbing Ltd incorporating Brian Henry Plumbing Services,
,01727 730 590,Incorporated as from 18th January 2007,,https://bakersmithlimited.com/,Baker Smith Limited,
07815 484 100,01268 412 810,Sole trader,Darren Comben,,Advanced Plumbing & Heating,
07568 489 364,07568 489 364,Sole trader,,,HWS Plumbing & Heating,
07841 976 086,07841 976 086,Limited company,Luke Richards,http://www.pureflowservicesltd.com/,PureFlow Services Ltd,
,08006 816 090,Limited company,Chris Rout,http://www.drainteq.co.uk/,Drain Teq Ltd,
07720 844 892,07720 844 892,Incorporated as from 20th June 2022,,https://www.ephdservices.co.uk/,EPHD Services Ltd,
,01494 211 775,Limited company,Paul Carney,http://www.pjcgasservices.com/,PJC Gas Services Limited,
07974 176 902,01277 671 825,Limited company,Richard Sawkins,,RS Plumbing & Heating Services UK Limited,
07710 813 815,01438 232 898,Sole trader,David McGuigan,,David McGuigan Gas Heating & Plumbing Services,
07740 300 128,0800 043 4405,Sole trader,Andrew Halstead,https://www.atpplumbingandheating.com/,ATP Emergency & Non Emergency Plumbing & Heating,
07517 429 876,01279 897 840,Limited company,Glenn Samuels,http://www.improvingmyhome.co.uk/,PDR Plumbing and Bathrooms,
01268 281 005,01268 281 005,Limited company,Reiss Monksfield,http://www.ccrpropertyservices.com/,CCR Property Services Limited,
07908 472 699,07908 472 699,Limited company,Ben Curtis,https://beds-plumbing-and-carpentry.business.site/,Benjamin Plumbers,
07774 885 786,01903 368 046,Sole trader,Andrew Waller,,Andrew's Plumbing Services,
07718 125 601,01707 538 104,Limited company,Jake Hoy,https://www.react4plumbing.com/,React4 Plumbing Ltd,
07926 873 131,07926 873 131,Sole trader,Jack Tiffen,,Heybridge Plumbing and Heating,
07890 652 389,01634 560 737,Limited company,Hugo Dias,,H&E Plumbing and Drainage,
07713 161 513,01462 506374,Incorporated as from 5th March 2021,,http://www.vantageplumbingandheating.co.uk/,Vantage Plumbing & Heating Ltd,
,01344 851 023,Limited company,Jenni King,http://www.bracknellplumbing.co.uk/,Bracknell Plumbing & Heating LLP,
07912 100 272,01268 453 462,Sole trader,Mark Anderson,http://www.andersonbrothers.co.uk/,Anderson Brothers Plumbing, Heating & Property Maintenance Ltd,
07875 308 913,0118 334 7550,Incorporated as from 13th June 2019,,https://bnaplumbing.co.uk/,BNA Plumbing & Heating Ltd,
07932 798 331,07932 798 331,Sole trader,Jeff Jackson,https://www.locksandleaks24.co.uk/,Locks & Leaks 24 Ltd,
07890 999 000,07890 999 000,Limited company,Toby Friedrich,http://www.pinnacleplumbers.com/,Pinnacle Plumbers & Heating Ltd,
07880 586 659,07880 586 659,Limited company,Mitchell Cook,,Mitchell's Heating & Plumbing Ltd,
07773 702 298,01279 731 019,Sole trader,Chris Cornell,,CMC Heating & Plumbing,
07913 370 374,01634 553 696,Incorporated as from 12th June 2018,,https://www.dw-plumbingservices.co.uk/,DW Plumbing Services,
07961 215 597,01483 475 980,Limited company,Gary Bullen,https://www.first1right.com/,First1Right Plumbing & Heating,
07860 883 040,07546 636 451,Limited company,Tim Smith,,TRS & Sons Plumbing and Gas Services,
07895 872 032,07895 872 032,Incorporated as from 20th August 2022,,,Virdi Plumbing and Heating Ltd,
,01582 932 324,Incorporated as from 6th November 2019,,https://www.yournewboiler.com/?source=Trustatrader,WarmaHome by WB Gas Ltd,
07842 624 192,07842 624 192,Sole trader,,,Act Fast Plumbing,
07730 604 598,01245 355 554,Limited company,Michael Stone,http://mds-plumbing.co.uk/,MDS Plumbing & Electrics Ltd,
07763 496 457,01245 401 045,Sole trader,Dennis Damps,,Essex Plumbing Services,
07539 148 876,07539 148 876,Sole trader,Ryan Walton,,RSW Plumbing & Heating,
07795 101 679,07795 101 679,Limited company,Marc Dines,,Shenfield Plumbing & Heating Ltd,
07552 155 999,07552 155 999,Incorporated as from 30th April 2021,,https://www.viking-heating.com/,Viking Heating and Plumbing Limited,
07772 251 624,01702 620 145,Sole trader,Dan Leaver,,D Leaver Plumbing & Heating,
07715 295 550,07715295550,Limited company,Gary Weller,https://www.apexplumber.co.uk/,Apex Plumber Ltd,
07931 328 408,01245 269 466,Limited company,Andrew Rudgewick,https://arplumbingandheating.co.uk/contact-us/,AR Plumbing & Heating (Chelmsford) Ltd,
07957 620 517,08007 720 534,Limited company,Steven Dean,http://homeheatuk.net/,Home Heat UK Ltd,
07393 351 006,07393 351 006,Incorporated as from 25th October 2023,,https://www.mezini.co.uk/,Mezini & Co UK Ltd,
07460 843 400,07460 843 400,Limited company,Michael Nice,http://www.southendplumber.com/,Southend Plumber Ltd,
07794 439 212,07794 439 212,Sole trader,Mark Bridge,,MB Services,
07918 105 804,07918 105 804,Limited company,Brad Woodward,https://www.a-sourceplumbing.co.uk/,A-Source Plumbing Ltd,
07393 288 436,07393 288 436,Sole trader,Dan Thurtle,https://www.handydansplumbers.co.uk/,Handy Dan's Plumbers,
,01634 510 445,Incorporated as from 1st May 2007,,https://www.robinsonplumbers-medway.co.uk/,TD Robinson Heating & Plumbing Ltd,
07966 159 537,07966 159 537,Sole trader,Phil Reynolds,http://www.prpropertyservices.co.uk/,PR Property Services,
07739 988 541,,Sole trader,,,Tyle Plumbing,
07447 919 121,07447919121,Sole trader,Glenn Lomax,,Mister Fix,
07912 867 905,07912 867 905,Sole trader,,https://www.willswayhp.com/,Willsway Heating and Plumbing,
,01892 300 919,Sole trader,,https://wiseplumbing.com/,Wise Plumbing,
07702 167 555,01622 817 895,Sole trader,Paul Wakeling,,PDW Plumbing & Heating,
07871 626 816,,Sole trader,Lee Marshall,http://www.marshall-heating.co.uk/,Marshall Heating,
07809 473 255,01252 856 918,Limited company,Luke Carswell,http://www.carswellsplumbing.co.uk/,Carswell's Plumbing,
07825 994 044,07825994044,Partnership,Andres Caldas,http://www.berkshiredirect.co.uk/,Berkshire Direct Heating & Plumbing,
07377 446 994,07377 446 994,Incorporated as from 9th May 2023,,https://rabiuplumbingandheating.com/,Rabiu Plumbing and Heating Ltd,
07967 740 828,07967 740 828,Sole trader,Edward George,http://www.eandrplumbingandheating.com/,E&R Plumbing & Heating,
07961 314 792,07961 314 792,Sole trader,Stephen Coulter,,Steve Coulter Plumbing & Heating,
07810 115 611,07917 054 045,Incorporated as from 7th March 2019,,,Paramount Plumbing And Heating,
07802 412 385,01268 783 349,Limited company,Jamie Colston,http://www.onyxplumbandheat.co.uk/,Onyx Plumbing Ltd,
,01582 476 917,Limited company,Andrew White,https://www.awps.ltd/,AWPS & AWPS Home Care,
07734 390 389,01634 549 549,Limited company,Stephen Greensted,https://www.greenstedplumbing.co.uk/,Greensted Plumbing & Heating,
07889 307 734,07889 307 734,Limited company,Craig Basham,http://bashamheatandplumb.co.uk/,Craig Basham Heating & Plumbing Ltd,
07826 850 711,01634 790 103,Sole trader,,https://www.majorheat.co.uk/,Major Heat,
07515 876 701,07515 876 701,Sole trader,Nathan Smith,,NRS Plumbing,
,01371 875 832,Limited company,Andrew Jones,,Capital Plumbing & Building,
07885 871 508,07885 871 508,Sole trader,Neil Monk,http://www.nmonkplumbingandheating.co.uk/,N Monk Plumbing & Heating,
07768 106 336,01268 743 422,Limited company,Paul Gevaux,,PG Heating and Plumbing Ltd,
07951 480 706,07951 480 706,Sole trader,Steve Ball,,Steve Ball Plumbing & Heating Services,
07595 167 423,08456 803 685,Limited company,Terrence Hughes,http://tmhughesandson.uk/,T M Hughes and Son Gas Services Limited,
07865 676 059,07865 676 059,Sole trader,Harry Tiffin,http://www.htheating.co.uk/,Harry Tiffin Plumbing & Heating,
07925 311 795,01462 339 882,Incorporated as from 4th June 2014,,http://www.gilbertgregson.com/,Gilbert & Gregson Plumbing & Heating,
07947 151 058,07947 151 058,Limited company,Kevin Hennelly,http://www.hennellys.co.uk/,Hennellys Services Limited,
07474 444 288,01462 510 382,Incorporated as from 15th August 2015,,http://www.jd-heating.uk/,JD Heating & Plumbing Services,
07866 725 940,07877 725940,Sole trader,Lazmir Velo,,LV Plumbing & Heating Ltd,
07904 518 150,07904 518 150,Limited company,Jason Raby,,JPR Plumbing & Heating Limited,
07535 655 619,07535 655 619,Limited company,Bradley Carthy,,Essex Pro Plumbing Ltd,
07960 287 456,,Incorporated as from 2nd July 2021,,,Parker & Sons Plumbing and Heating Limited,
07533 718 462,07533 718 462,Sole trader,Ashley Dempsey,,ATD Plumbing Heating & Gas Ltd,
07581 408 241,07581 408 241,Sole trader,John Stepton,,JJ Plumbing & Heating,
07714 667 452,07714 667452,Sole trader,,http://boughtonplumbing.co.uk/,Boughton Plumbing,
07973 410 957,01462 815 386,Sole trader,Paul Donald,,Paul Donald Plumbing & Heating,
07943 329 405,08008 247 585,Limited company,Christopher Shaw,http://www.shawsplumbingandheating.co.uk/,Shaw's Plumbing & Heating,
07887 518 519,07887 518 519,Sole trader,Terry Smith,https://3kgreen.co.uk/about-us/,RJ's Plumbing and Heating,
07850 531 555,01183 432 365,Limited company,Neil Urquhart,https://www.mnplumbingreading.co.uk/,M&N Plumbing Ltd,
07863 338 694,01296 509 609,Limited company,Miguel Gomes,http://www.mgrplumbingandheating.co.uk/,MGR Plumbing & Heating Ltd,
07538 927 805,01376 402 550,Incorporated as from 14th August 2023,,,Selwyn Plumbing and Heating Ltd,
07813 030 999,01621 842 587,Limited company,David French,,DJ French Ltd,
07584 012 294,07584 012 294,Sole trader,John Palmer,,JP Plumbing Heating and Drainage,
07737 700 508,0800 999 1102,Incorporated as from 25th January 2010,,http://www.russell-heating.co.uk/,Russell Heating Ltd,
07976 310 574,01462 860 043,Limited company,Terry Johnson,http://www.tjps.co.uk/,TJ Plumbing Shefford,
07825 322 375,07825 322 375,Sole trader,Russell Chapman,https://www.boiler-buddy.co.uk/,Boiler Buddy,
07727 124 091,01702 299 649,Sole trader,Gavin Osborn,http://www.osbornplumbingservices.com/,Osborn Plumbing,
07411 291 116,07411 291 116,Incorporated as from 8th November 2023,,,QuickFlo Services Ltd,
07732 527 634,07732 527 634,Sole trader,Ben Coulter,https://www.iglooplumbing.co.uk/,Igloo Plumbing and Heating,
07476 433 476,07476 433 476,Sole trader,,,RM Property Maintenance,
,08000 275 275,Incorporated as from 23rd July 2013,,http://www.davisandjoyce.co.uk/,D&J Plumbing & Heating UK LTD,
,01767 601 929,Limited company,David Peel,,LBP Plumbing & Heating Ltd,
07930 366 833,01763 294 039,Limited company,Keith Hodge,http://www.waterworxplumber.co.uk/,Waterworx Plumbing And Heating Services Ltd,
,0800 0112628,Limited company,Christopher Elias,https://www.christopherplumbingservices.com/,Christopher Plumbing Services Ltd,
07793 652 051,01428 727 222,Limited company,Gregory Miller,http://www.miller-and-sons.co.uk/,Miller & Sons,
07983 453 075,01908 412 258,Sole trader,Katie Garey,,Katie's Plumbing,
07920 406 415,01273 671 617,Limited company,Jake Kemp,http://www.kccontracts.co.uk/,KCC Team Ltd,
07776 303 791,08002461223,Limited company,Rob Mirabita,https://www.lfmbasingstoke.co.uk/,LFM Plumbing & Gas Ltd,
,01908 888 447,Limited company,William (Billy) Dixon,http://www.dixonsplumbing.com/index.html,Dixons Plumbing and Electrical Works Ltd,
07828 876 223,01273 569 335,Limited company,Christopher Peters,https://wave.plumbing/,Wave Plumbing & Bathrooms Ltd,
07588 858 895,07588 858 895,Sole trader,Eugeni Titov,,EUG Plumb,
07879 471 122,01234 381 266,Incorporated as from 1st February 2021,,https://mooncourt.co.uk/,Mooncourt Plumbing,
07865 094 940,07865 094 940,Sole trader,Neil Elliott,http://eastareagas.co.uk/,East Area Gas,
07926 935 793,07926 935 793,Sole trader,Thanas Ntostas,https://nicholasgeorgebuilders.co.uk/,NT Thanas,
07908 361 808,07908 361 808,Sole trader,,https://plumbingelectricsussex.co.uk/,Abney Abele,
07804 541 043,0800 078 6404,Incorporated as from 15th May 2019,,,A-Maisie Build Ltd,
07792 861 888,07792 861 888,Sole trader,Marc Edwards,http://meplumbingheating.co.uk/,ME Plumbing & Heating,
07834 616 637,07834 616 637,Sole trader,Steve Willis,,Steve Willis Plumbing & Heating,
03003 730 756,03003 730 756,Incorporated as from 19th December 2022,,https://www.limeheating.co.uk/,Lime Heating Ltd,
07704 908 921,0800 135 7531,Sole trader,,https://www.adrainagecompany.co.uk/,A Drainage Company,
07708 930 896,07708 930 896,Sole trader,Richard Moss,https://www.plumber-bedford.co.uk/,R Moss Heating & Plumbing,
07931 815 758,07931 815 758,Limited company,Rob Mason,https://benchmarkltd.uk/,Benchmark Construction,
07733 268 284,07733 268 284,Sole trader,,,MW Plumbing & Heating,
07564 298 493,07713 157 799,Limited company,Douglas Bedford,,MK Gas 24/7 Ltd,
07403 946 994,07864 686 384,Limited company,Douglas Bedford,,Bedford Boilers Ltd,
07970 325 267,07970 325 267,Sole trader,Bill Boorer,,Bill Boorer Plumbing & Heating,
,01234 860 220,Sole trader,Liam Bliss,http://www.blissplumbing.co.uk/,Bliss Plumbing & Heating,
,01954 212 553,Limited company,Andy Johnson,https://www.uniplumb.com/,Uniplumb (Cambridge) Ltd,
07463 004 120,01480 774 723,Incorporated as from 4th October 2018,,https://www.preferredgroup.co.uk/,Preferred Plumbing and Heating Ltd,
07931 977 020,07931 977 020,Sole trader,Matthew Tomlin,,MT Plumbing and Heating,
07503 153 480,07503 153 480,Sole trader,Simon Bailey,http://www.aquatech.org.uk/,Aquatech,
07526 304 050,07526 304 050,Partnership,,https://www.taps-toilets.co.uk/,Taps and Toilets,
07908 709 885,07932 409 337,Sole trader,,,Chris Neacy Services,
07766 915 013,07783 927 063,Sole trader,Nigel Tiltman,,Brookings Plumbing and Maintenance Services,
07557 760 690,07557 760 690,Limited company,Eddie Gregory,https://www.gregorygasheatingandplumbingltd.co.uk/,Gregory Gas Heating & Plumbing Ltd,
07392 608 810,01865 986 919,Limited company,John Collins,http://jgcplumbingandheating.co.uk/,JGC Plumbing Heating and Cooling Ltd,
